requirement_id,title,description,business_domain,priority,status,component,linked_components,features,source_system,domain,created_at,updated_at
REQ-1001,Card Payment Authorization,"The Payment Service shall authorise card payments against the acquirer, capture an authorisation code and persist the transaction with its currency, amount and merchant reference.",Payments,CRITICAL,APPROVED,CMP-003,"[""CMP-003"", ""CMP-008"", ""CMP-014""]","[""Payment Authorization"", ""Transaction Processing""]",LOCAL,commerce,2026-09-13T12:45:40.340370,2026-09-13T16:26:06.890822
REQ-1002,Payment Validation Rules Engine,"The Payment Validator shall validate amount, currency code, merchant configuration and payment instrument before any authorisation call, returning a deterministic list of validation errors.",Payments,CRITICAL,APPROVED,CMP-004,"[""CMP-004"", ""CMP-003"", ""CMP-007""]","[""Payment Validation"", ""Validation Rules""]",LOCAL,commerce,2026-09-13T12:45:40.340392,2026-09-13T16:26:06.890826
REQ-1003,Unsupported Currency Rejection,Payment requests carrying a currency code outside the merchant's supported currency list shall be rejected with error UNSUPPORTED_CURRENCY before funds are reserved.,Payments,HIGH,APPROVED,CMP-004,"[""CMP-004"", ""CMP-005"", ""CMP-003""]","[""Payment Validation"", ""Multi Currency Processing""]",LOCAL,commerce,2026-09-13T12:45:40.340393,2026-09-13T16:26:06.890827
REQ-1004,Multi Currency Payment Processing,"The platform shall accept payments in every enabled settlement currency, converting to the merchant settlement currency using the rate effective at authorisation time and storing both amounts.",Payments,CRITICAL,APPROVED,CMP-005,"[""CMP-005"", ""CMP-003"", ""CMP-004"", ""CMP-008""]","[""Multi Currency Processing"", ""Currency Conversion""]",LOCAL,commerce,2026-09-13T12:45:40.340395,2026-09-13T16:26:06.890827
REQ-1005,Currency Conversion Rate Sourcing,"The Currency Service shall refresh FX rates every 15 minutes from the treasury feed, cache them and expose the rate age with every conversion.",Payments,HIGH,APPROVED,CMP-005,"[""CMP-005""]","[""Currency Conversion"", ""Rate Management""]",LOCAL,commerce,2026-09-13T12:45:40.340396,2026-09-13T16:26:06.890828
REQ-1006,Payment Retry and Idempotency,Repeated submissions of the same idempotency key shall never create a second authorisation; the original transaction result is replayed.,Payments,HIGH,APPROVED,CMP-003,"[""CMP-003"", ""CMP-008""]","[""Transaction Processing"", ""Idempotency""]",LOCAL,commerce,2026-09-13T12:45:40.340397,2026-09-13T16:26:06.890828
REQ-1007,Fraud Screening Threshold Enforcement,"Transactions scoring above the configured fraud threshold shall be held for manual review, and cross-currency transactions shall be scored with the converted base-currency amount.",Risk,HIGH,APPROVED,CMP-014,"[""CMP-014"", ""CMP-003""]","[""Fraud Screening"", ""Risk Scoring""]",LOCAL,commerce,2026-09-13T12:45:40.340399,2026-09-13T16:26:06.890829
REQ-1008,Transaction Ledger Consistency,Every captured payment and refund shall produce balanced double-entry ledger postings; the ledger shall reconcile to the transaction store daily.,Finance,CRITICAL,APPROVED,CMP-015,"[""CMP-015"", ""CMP-008"", ""CMP-003""]","[""Ledger Posting"", ""Reconciliation""]",LOCAL,commerce,2026-09-13T12:45:40.340400,2026-09-13T16:26:06.890829
REQ-1009,Transaction Record Persistence and Retention,"Transaction records shall persist amount, currency, converted amount, status and audit timestamps, and be retained for seven years.",Payments,CRITICAL,APPROVED,CMP-008,"[""CMP-008"", ""CMP-003"", ""CMP-013""]","[""Transaction Processing"", ""Data Retention""]",LOCAL,commerce,2026-09-13T12:45:40.340401,2026-09-13T16:26:06.890829
REQ-1010,Order Checkout Flow,"The checkout journey shall validate the cart, reserve stock, request payment authorisation and confirm the order in a single orchestrated flow.",Orders,CRITICAL,APPROVED,CMP-006,"[""CMP-006"", ""CMP-003"", ""CMP-001"", ""CMP-002""]","[""Checkout"", ""Order Management""]",LOCAL,commerce,2026-09-13T12:45:40.340403,2026-09-13T16:26:06.890830
REQ-1011,Order Total Calculation with Taxes,"Order totals shall be computed as line items plus tax minus discounts, rounded per currency minor-unit rules before payment authorisation.",Orders,HIGH,APPROVED,CMP-006,"[""CMP-006"", ""CMP-005""]","[""Order Management"", ""Pricing""]",LOCAL,commerce,2026-09-13T12:45:40.340404,2026-09-13T16:26:06.890830
REQ-1012,Order Cancellation,Customers shall cancel an order before dispatch; cancellation voids the authorisation or triggers a full refund when funds were captured.,Orders,MEDIUM,APPROVED,CMP-006,"[""CMP-006"", ""CMP-007"", ""CMP-011""]","[""Order Management"", ""Cancellation""]",LOCAL,commerce,2026-09-13T12:45:40.340406,2026-09-13T16:26:06.890830
REQ-1013,Full and Partial Refund Processing,"The Refund Service shall support full and partial refunds against a captured payment, never exceeding the remaining refundable amount.",Payments,HIGH,APPROVED,CMP-007,"[""CMP-007"", ""CMP-003"", ""CMP-004"", ""CMP-008""]","[""Refund Processing"", ""Payment Validation""]",LOCAL,commerce,2026-09-13T12:45:40.340408,2026-09-13T16:26:06.890831
REQ-1014,Refund Currency Parity,Refunds shall be issued in the original transaction currency using the original conversion rate so that the customer is made whole.,Payments,HIGH,APPROVED,CMP-007,"[""CMP-007"", ""CMP-005"", ""CMP-015""]","[""Refund Processing"", ""Multi Currency Processing""]",LOCAL,commerce,2026-09-13T12:45:40.340409,2026-09-13T16:26:06.890831
REQ-1015,Invoice Generation and Numbering,"A gap-free, sequential invoice number shall be issued per legal entity on order completion, with amounts formatted for the invoice currency.",Finance,MEDIUM,APPROVED,CMP-012,"[""CMP-012"", ""CMP-006"", ""CMP-005""]","[""Invoicing"", ""Document Generation""]",LOCAL,commerce,2026-09-13T12:45:40.340411,2026-09-13T16:26:06.890832
REQ-1016,User Profile Management,"Customers shall view and edit profile details, contact preferences and the address book from the profile page of the portal.",Identity,MEDIUM,APPROVED,CMP-009,"[""CMP-009"", ""CMP-001"", ""CMP-010""]","[""User Profile"", ""Profile UI""]",LOCAL,commerce,2026-09-13T12:45:40.340412,2026-09-13T16:26:06.890832
REQ-1017,Multi-Factor Authentication,Sign-in from an unrecognised device and any high-value payment shall require a second authentication factor before the action completes.,Security,CRITICAL,APPROVED,CMP-010,"[""CMP-010"", ""CMP-009"", ""CMP-011""]","[""Authentication"", ""MFA""]",LOCAL,commerce,2026-09-13T12:45:40.340413,2026-09-13T16:26:06.890832
REQ-1018,Session Token Lifecycle,"Access tokens shall expire after 30 minutes of inactivity, be renewable with a refresh token and be revoked immediately on password change.",Security,HIGH,APPROVED,CMP-010,"[""CMP-010"", ""CMP-002""]","[""Authentication"", ""Session Management""]",LOCAL,commerce,2026-09-13T12:45:40.340415,2026-09-13T16:26:06.890833
REQ-1019,Transactional Email Notifications,"Order confirmation, refund confirmation and security alerts shall be delivered by templated email in the customer's locale within 60 seconds.",Engagement,MEDIUM,APPROVED,CMP-011,"[""CMP-011"", ""CMP-006"", ""CMP-007""]","[""Notifications"", ""Email Templates""]",LOCAL,commerce,2026-09-13T12:45:40.340416,2026-09-13T16:26:06.890833
REQ-1020,Financial Reconciliation Reporting,"A daily reconciliation report shall summarise settled, refunded and pending amounts per currency for finance operations.",Finance,LOW,APPROVED,CMP-013,"[""CMP-013"", ""CMP-008"", ""CMP-015""]","[""Reporting"", ""Reconciliation""]",LOCAL,commerce,2026-09-13T12:45:40.340417,2026-09-13T16:26:06.890833
L2R367,Depart Test key availability on Menu 1,"When the parking function is not on and the I-ETMS penalty brake cut out switch is in the Cut In position and the locomotive airbrake system is indicating Air Brake Cut-In, and the on-board segment is in the ACTIVE, DISENGAGED or CUT OUT state and the locomotive is stopped, the on-board segment shall make a Depart Test key available on Menu 1.",Onboard,CRITICAL,APPROVED,RCMP-002,"[""RCMP-002"", ""RCMP-005"", ""RCMP-004"", ""RCMP-003""]","[""Departure Test"", ""Menu Keys""]",LOCAL,rail,2026-09-13T12:45:40.340418,2026-09-13T16:26:06.890833
L2R1234,Brake pipe pressure precondition for departure test,"When the Depart Test key is pressed and the on-board segment state is ACTIVE or DISENGAGED and the on-board segment does not receive a valid feed valve setting status from the brake system and the front brake pipe pressure is less than TBC246 psi, the on-board segment shall display a 'Brake pipe pressure must be at least TBC246 PSI to begin departure test' prompt with a Cancel key.",Braking,CRITICAL,APPROVED,RCMP-002,"[""RCMP-002"", ""RCMP-003"", ""RCMP-005""]","[""Departure Test"", ""Brake Pipe Pressure""]",LOCAL,rail,2026-09-13T12:45:40.340420,2026-09-13T16:26:06.890834
L2R412,Feed valve setting status validation,The on-board segment shall treat a feed valve setting status as valid only when it is received from the brake system within TBC118 seconds and is within the configured feed valve range.,Braking,HIGH,APPROVED,RCMP-003,"[""RCMP-003"", ""RCMP-002""]","[""Brake Status"", ""Feed Valve""]",LOCAL,rail,2026-09-13T12:45:40.340421,2026-09-13T16:26:06.890834
L2R508,Penalty brake cut out switch handling,"When the I-ETMS penalty brake cut out switch transitions to the Cut Out position, the on-board segment shall transition to the CUT OUT state and shall annunciate the transition to the crew within TBC005 seconds.",Braking,CRITICAL,APPROVED,RCMP-010,"[""RCMP-010"", ""RCMP-004"", ""RCMP-001"", ""RCMP-005""]","[""Cut Out Handling"", ""Onboard State""]",LOCAL,rail,2026-09-13T12:45:40.340422,2026-09-13T16:26:06.890834
L2R615,Onboard segment state transitions,"The on-board segment shall maintain the ACTIVE, DISENGAGED, CUT OUT and FAILED states and shall only transition between them on the conditions defined for each transition.",Onboard,CRITICAL,APPROVED,RCMP-001,"[""RCMP-001"", ""RCMP-010"", ""RCMP-005""]","[""Onboard State"", ""State Machine""]",LOCAL,rail,2026-09-13T12:45:40.340424,2026-09-13T16:26:06.890835
