defect_id,title,description,severity,status,root_cause,root_cause_category,affected_component,related_components,linked_requirements,escaped_to_production,reopen_count,detected_at,severity_weight,created_at,updated_at
BUG-101,Currency conversion failed for unsupported currencies,Payments in CHF returned HTTP 500 because the conversion helper assumed every currency code existed in the rate cache.,CRITICAL,CLOSED,Missing guard clause for unknown currency codes in convert().,Missing validation,CMP-005,"[""CMP-003"", ""CMP-004""]","[""REQ-1004"", ""REQ-1005""]",true,1,2026-02-15T12:45:40.351164,1.0,2026-09-13T12:45:40.354744,2026-09-13T16:26:18.326101
BUG-201,Payment validation allowed invalid currency codes,"The validator accepted three-letter codes that were not ISO-4217, so authorisation failed downstream at the acquirer.",HIGH,CLOSED,"Validation rule checked length only, not the currency catalogue.",Incomplete validation rule,CMP-004,"[""CMP-003"", ""CMP-005""]","[""REQ-1002"", ""REQ-1003""]",true,2,2026-04-01T12:45:40.351164,0.75,2026-09-13T12:45:40.354752,2026-09-13T16:26:18.326105
BUG-332,Refund service failed after payment validation change,"A change to the shared validator added a mandatory field that refund requests never supply, breaking all partial refunds for 4 hours.",CRITICAL,CLOSED,Shared validation library changed without refund regression run.,Shared library contract break,CMP-007,"[""CMP-004"", ""CMP-003""]","[""REQ-1013"", ""REQ-1002""]",true,0,2026-05-16T12:45:40.351164,1.0,2026-09-13T12:45:40.354753,2026-09-13T16:26:18.326106
BUG-118,Rounding error on JPY payments,"Zero-decimal currencies were multiplied by 100, overcharging customers.",HIGH,CLOSED,Minor-unit exponent hard-coded to 2.,Currency minor-unit handling,CMP-005,"[""CMP-006"", ""CMP-012""]","[""REQ-1004"", ""REQ-1011""]",true,0,2025-11-17T12:45:40.351164,0.75,2026-09-13T12:45:40.354755,2026-09-13T16:26:18.326106
BUG-142,Duplicate authorisation on client retry,Network retries created two authorisations for one order.,CRITICAL,CLOSED,Idempotency key not persisted before the acquirer call.,Idempotency gap,CMP-003,"[""CMP-008"", ""CMP-006""]","[""REQ-1006""]",true,1,2026-01-06T12:45:40.351164,1.0,2026-09-13T12:45:40.354756,2026-09-13T16:26:18.326107
BUG-155,Stale FX rate applied after cache refresh failure,The rate cache served rates older than 6 hours without warning.,HIGH,CLOSED,"Refresh failure swallowed, no rate-age assertion.",Silent error handling,CMP-005,"[""CMP-003""]","[""REQ-1005""]",true,0,2026-06-10T12:45:40.351164,0.75,2026-09-13T12:45:40.354757,2026-09-13T16:26:18.326107
BUG-160,Transaction insert failed after schema migration,A NOT NULL column added without a default broke all writes on release night.,CRITICAL,CLOSED,Backward-incompatible migration deployed before the service change.,Schema migration ordering,CMP-008,"[""CMP-003"", ""CMP-015"", ""CMP-013""]","[""REQ-1009""]",true,1,2026-04-26T12:45:40.351164,1.0,2026-09-13T12:45:40.354758,2026-09-13T16:26:18.326107
BUG-166,Reporting extract timed out after transaction table growth,The daily reconciliation query exceeded its 15 minute budget.,MEDIUM,CLOSED,"Missing composite index on (settled_at, currency).",Missing index,CMP-013,"[""CMP-008""]","[""REQ-1020""]",false,0,2026-06-30T12:45:40.351164,0.45,2026-09-13T12:45:40.354759,2026-09-13T16:26:18.326108
BUG-171,Ledger postings unbalanced for cross-currency refunds,Refunds converted at the current rate left a residual balance in the ledger.,CRITICAL,CLOSED,Refund used live rate instead of the original transaction rate.,Currency rate selection,CMP-015,"[""CMP-007"", ""CMP-005"", ""CMP-008""]","[""REQ-1014"", ""REQ-1008""]",true,2,2026-07-15T12:45:40.351164,1.0,2026-09-13T12:45:40.354761,2026-09-13T16:26:18.326108
BUG-180,Fraud score computed on pre-conversion amount,High-value foreign currency payments bypassed the review threshold.,HIGH,CLOSED,"Screening used the request amount, not the base-currency amount.",Currency conversion ordering,CMP-014,"[""CMP-003"", ""CMP-005""]","[""REQ-1007""]",true,0,2026-06-17T12:45:40.351164,0.75,2026-09-13T12:45:40.354762,2026-09-13T16:26:18.326109
