workflow_id,ecr_id,agent_name,agent_key,status,action,input,output,reasoning,confidence,execution_time,error,created_at
WF-22fe1f93230b,ECR-2026-002,Retrieval Agent,ecr_understanding,COMPLETED,Extracting change entities and classifying the change,{},"{""change_type"": ""UI_CHANGE"", ""business_domain"": ""Identity"", ""affected_features"": [""User Profile""], ""risk_indicators"": [""customer_facing"", ""validation_logic_change""]}","Classified as UI_CHANGE (confidence 97%) from 3 signal groups. Extracted 12 technical keywords, 1 affected feature(s) and 2 risk indicator(s).",0.97,4.812,,2026-09-13T12:47:14.994008
WF-22fe1f93230b,ECR-2026-002,Retrieval Agent,planning,COMPLETED,Planning which sources to investigate,{},"{""plan"": [""ecr_understanding"", ""planning"", ""requirements"", ""code_impact"", ""historical_defects"", ""collaboration_retrieval"", ""impact_assessment"", ""test_discovery"", ""test_selection"", ""test_prioritization"", ""correlation"", ""summarization"", ""report""], ""skipped"": [""dependencies""], ""routing_reason"": ""Ui change with 2 risk indicator(s) detected. Skipping dependencies.""}",Ui change with 2 risk indicator(s) detected. Skipping dependencies.,0.95,0.0,,2026-09-13T12:47:15.004982
WF-22fe1f93230b,ECR-2026-002,Retrieval Agent,requirements,COMPLETED,Retrieving impacted requirements,{},"{""matched"": 6, ""searched"": 30, ""top"": [""REQ-1016"", ""REQ-1002"", ""REQ-1003"", ""REQ-1004"", ""REQ-1013""]}","Searched 30 requirements across traceability, semantic and keyword channels and matched 6. Strongest match is REQ-1016 (User Profile Management) at 100% relevance.",0.97,0.682,,2026-09-13T12:47:15.700977
WF-22fe1f93230b,ECR-2026-002,Retrieval Agent,code_impact,COMPLETED,Analysing code impact,{},"{""direct_files"": [""portal/profile_page.py""], ""direct_components"": [""CMP-001""], ""indirect_components"": [], ""apis"": []}","Parsed 18 modules (30 import edges) and resolved 1 changed module(s). Direct impact: CMP-001. 0 module(s) import the changed code, giving indirect impact on no further components.",0.8,0.0,,2026-09-13T12:47:15.713325
WF-22fe1f93230b,ECR-2026-002,Retrieval Agent,historical_defects,COMPLETED,Searching similar historical defects,{},"{""matched"": 10, ""searched"": 38, ""historical_risk_score"": 1.0, ""patterns"": []}","Searched 38 historical defects and found 10 related to this change (historical risk index 1.00). No recurring root-cause pattern emerged. Highest-risk components: CMP-005, CMP-007, CMP-001.",0.95,0.013,,2026-09-13T12:47:15.738294
WF-22fe1f93230b,ECR-2026-002,Retrieval Agent,collaboration_retrieval,COMPLETED,Collecting review comments and evidence,{},"{""comments"": 4, ""evidence"": 3, ""decisions"": 2, ""concerns"": 1}","Collected 4 comment(s) and 3 evidence artefact(s) for ECR-2026-002. 2 explicit decision(s), 1 raised concern(s). Evidence outcomes: PASS x1, APPROVED x1, CLOSED x1. 5 impacted requirement(s) have no evidence attached.",0.95,0.006,,2026-09-13T12:47:15.755539
WF-22fe1f93230b,ECR-2026-002,Retrieval Agent,retrieval_agent,COMPLETED,"Retrieving ECR details, requirements, tests, defects, comments and evidence",{},"{""sources"": {""requirements"": 6, ""defects"": 10, ""comments"": 4, ""evidence"": 3, ""code_modules"": 1, ""dependency_components"": 0}, ""plan"": [""ecr_understanding"", ""planning"", ""requirements"", ""code_impact"", ""historical_defects"", ""collaboration_retrieval"", ""impact_assessment"", ""test_discovery"", ""test_selection"", ""test_prioritization"", ""correlation"", ""summarization"", ""report""]}","Retrieved 6 requirements, 10 defects, 4 comments, 3 evidence, 1 code modules for ECR-2026-002.",0.932,5.586,,2026-09-13T12:47:15.767558
WF-22fe1f93230b,ECR-2026-002,Correlation Agent,impact_assessment,COMPLETED,Scoring impact and risk,{},"{""risk_score"": 38, ""risk_level"": ""MEDIUM"", ""direct"": [""CMP-001""], ""indirect"": []}","Risk score 38/100 (MEDIUM). Historical Risk: 10 similar historical defect(s), 5 of them critical. Business Criticality: Most critical directly impacted component is rated MEDIUM; 6 linked requirement(s). Change Complexity: Change classified as Ui Change across 1 file(s); risk indicators: customer_facing, validation_logic_change.",0.78,0.002,,2026-09-13T12:47:15.782842
WF-22fe1f93230b,ECR-2026-002,Correlation Agent,test_discovery,COMPLETED,Discovering candidate test cases,{},"{""candidates"": 60, ""total_available"": 150, ""domain"": ""commerce"", ""requirement_trace"": 51, ""component_coverage"": 16, ""semantic_search"": 7, ""unique_candidates"": 60}","Discovered 60 unique candidate test(s) out of 150 commerce test(s): 51 via requirement traceability, 16 via component coverage and 7 via semantic search.",0.95,0.225,,2026-09-13T12:47:16.022821
WF-22fe1f93230b,ECR-2026-002,Correlation Agent,test_selection,COMPLETED,Selecting the minimum effective regression suite,{},"{""selected"": 7, ""total_available"": 150, ""reduction_percentage"": 95.3, ""priority_distribution"": {""P0"": 0, ""P1"": 4, ""P2"": 3, ""P3"": 0}}",Scored 60 candidate(s) against the impact model and selected 7 test(s) out of a 150-test regression suite (95.3% reduction). Estimated execution 11 minutes versus 370 minutes for the full suite.,0.95,0.005,,2026-09-13T12:47:16.035807
WF-22fe1f93230b,ECR-2026-002,Correlation Agent,test_prioritization,COMPLETED,Prioritising the execution order,{},"{""waves"": {""P0"": 0, ""P1"": 4, ""P2"": 3, ""P3"": 0}, ""critical_path_minutes"": 8.0, ""estimated_duration_minutes"": 11.4}","Ordered 7 test(s): 0 P0, 4 P1, 3 P2, 0 P3. P0 and P1 complete in about 8 minutes, the whole selection in 11 minutes.",0.9,0.002,,2026-09-13T12:47:16.047119
WF-22fe1f93230b,ECR-2026-002,Correlation Agent,correlation,COMPLETED,Correlating artefacts across sources,{},"{""nodes"": 32, ""edges"": 44, ""coverage"": {""requirements"": 6, ""tests_selected"": 7, ""defects"": 10, ""comments"": 4, ""evidence"": 3, ""components"": 1}, ""corroborated"": 5}",Correlated 32 artefact(s) and 44 typed link(s) for ECR-2026-002 across 6 source(s). 5 artefact(s) are corroborated by more than one source.,0.96,0.001,,2026-09-13T12:47:16.058027
WF-22fe1f93230b,ECR-2026-002,Correlation Agent,correlation_agent,COMPLETED,"Correlating sources, scoring impact and selecting regression tests",{},"{""risk_score"": 38, ""risk_level"": ""MEDIUM"", ""selected_tests"": 7, ""reduction_percentage"": 95.3, ""correlated_nodes"": 32}","Correlated 32 artefact(s), scored risk 38/100 (MEDIUM) and selected 7 of 150 tests (95.3% reduction).",0.908,0.287,,2026-09-13T12:47:16.067987
WF-22fe1f93230b,ECR-2026-002,Summarization Agent,summarization,COMPLETED,Summarising the correlated findings,{},"{""question"": ""What do I need to know about this change, and what should we test?"", ""citations"": [""BUG-101"", ""BUG-118"", ""BUG-142"", ""BUG-201"", ""BUG-240"", ""BUG-332"", ""CMT-1003"", ""CMT-1008"", ""CMT-1010"", ""EV-3003"", ""EV-3004"", ""EV-3010""]}","ECR-2026-002 (Update button text on the user profile page) is a ui change in the Identity domain, scored 38/100 (MEDIUM). It touches REQ-1016 (User Profile Management), REQ-1002 (Payment Validation Rules Engine), REQ-1003 (Unsupported Currency Rejection). History is relevant here: BUG-240 (Profile page save button silently failed), BUG-101 (Currency conversion failed for unsupported currencies), BUG-201 (Payment validation allowed invalid currency codes). Decisions already recorded: Copy approved by content design: 'Save changes'. Toast wording stays as is. No API or persistence change, so backend regression is not required. Open concern: BUG-201 was reopened twice because the fix only checked code length. Please add the ISO-4217 catalogue assertion to the regression pack, not just the merchant list check. Recommended regression: 7 of 150 tests (95.3% reduction), 0 P0 and 4 P1. Evidence is missing for: REQ-1002, REQ-1004, REQ-1013, REQ-1016.",0.95,0.0,,2026-09-13T12:47:16.079938
WF-22fe1f93230b,ECR-2026-002,Summarization Agent,report,COMPLETED,Generating the ECR intelligence report,{},"{""sections"": 15, ""risk_score"": 38, ""confidence"": 0.923, ""metrics"": {""total_tests"": 150, ""candidate_tests"": 60, ""selected_tests"": 7, ""reduction_percentage"": 95.3, ""estimated_duration_minutes"": 11.4, ""baseline_duration_minutes"": 369.7, ""priority_distribution"": {""P0"": 0, ""P1"": 4, ""P2"": 3, ""P3"": 0}, ""correlated_artefacts"": 32, ""correlated_links"": 44, ""comments"": 4, ""evidence"": 3}}",Assembled 15 report sections with overall confidence 92% (HIGH CONFIDENCE).,0.923,0.001,,2026-09-13T12:47:16.092243
WF-22fe1f93230b,ECR-2026-002,Summarization Agent,summarization_agent,COMPLETED,Answering the question and publishing the report,{},"{""answer_preview"": ""ECR-2026-002 (Update button text on the user profile page) is a ui change in the Identity domain, scored 38/100 (MEDIUM). It touches REQ-1016 (User Profile Management), REQ-1002 (Payment Validation Rules Engine), REQ-1003 (Unsupported Curre"", ""citations"": [""BUG-101"", ""BUG-118"", ""BUG-142"", ""BUG-201"", ""BUG-240"", ""BUG-332"", ""CMT-1003"", ""CMT-1008"", ""CMT-1010"", ""EV-3003"", ""EV-3004"", ""EV-3010""], ""metrics"": {""total_tests"": 150, ""candidate_tests"": 60, ""selected_tests"": 7, ""reduction_percentage"": 95.3, ""estimated_duration_minutes"": 11.4, ""baseline_duration_minutes"": 369.7, ""priority_distribution"": {""P0"": 0, ""P1"": 4, ""P2"": 3, ""P3"": 0}, ""correlated_artefacts"": 32, ""correlated_links"": 44, ""comments"": 4, ""evidence"": 3}}","ECR-2026-002 (Update button text on the user profile page) is a ui change in the Identity domain, scored 38/100 (MEDIUM). It touches REQ-1016 (User Profile Management), REQ-1002 (Payment Validation Rules Engine), REQ-1003 (Unsupported Currency Rejection). History is relevant here: BUG-240 (Profile page save button silently failed), BUG-101 (Currency conversion failed for unsupported currencies), B",0.923,0.025,,2026-09-13T12:47:16.104654
WF-814b4e899e4c,ECR-2026-001,Retrieval Agent,ecr_understanding,COMPLETED,Extracting change entities and classifying the change,{},"{""change_type"": ""BACKEND_CHANGE"", ""business_domain"": ""Payments"", ""affected_features"": [""Payment Validation""], ""risk_indicators"": [""financial_transaction"", ""shared_library_change"", ""validation_logic_change""]}","Classified as BACKEND_CHANGE (confidence 97%) from 1 signal groups. Extracted 12 technical keywords, 1 affected feature(s) and 3 risk indicator(s).",0.97,4.451,,2026-09-13T12:50:26.282269
WF-814b4e899e4c,ECR-2026-001,Retrieval Agent,planning,COMPLETED,Planning which sources to investigate,{},"{""plan"": [""ecr_understanding"", ""planning"", ""requirements"", ""code_impact"", ""historical_defects"", ""dependencies"", ""collaboration_retrieval"", ""impact_assessment"", ""test_discovery"", ""test_selection"", ""test_prioritization"", ""correlation"", ""summarization"", ""report""], ""skipped"": [], ""routing_reason"": ""Backend change with 3 risk indicator(s) detected. Running the full investigation.""}",Backend change with 3 risk indicator(s) detected. Running the full investigation.,0.95,0.0,,2026-09-13T12:50:26.307795
