source_component,target_component,dependency_type,criticality,weight,description,created_at,updated_at
CMP-001,CMP-002,SYNC_API,CRITICAL,1.0,Portal calls every backend through the gateway,2026-09-13T12:45:40.325825,2026-09-13T12:45:40.325830
CMP-002,CMP-003,SYNC_API,CRITICAL,1.0,Checkout payment routes,2026-09-13T12:45:40.325831,2026-09-13T12:45:40.325832
CMP-002,CMP-006,SYNC_API,HIGH,0.8,Order management routes,2026-09-13T12:45:40.325833,2026-09-13T12:45:40.325833
CMP-002,CMP-009,SYNC_API,HIGH,0.8,Profile routes,2026-09-13T12:45:40.325834,2026-09-13T12:45:40.325835
CMP-002,CMP-010,SYNC_API,CRITICAL,1.0,Token introspection on every request,2026-09-13T12:45:40.325835,2026-09-13T12:45:40.325836
CMP-002,CMP-013,SYNC_API,LOW,0.25,Reporting exports,2026-09-13T12:45:40.325836,2026-09-13T12:45:40.325837
CMP-002,CMP-007,SYNC_API,HIGH,0.8,Refund routes,2026-09-13T12:45:40.325838,2026-09-13T12:45:40.325838
CMP-003,CMP-004,LIBRARY,CRITICAL,1.0,Validation library compiled into the service,2026-09-13T12:45:40.325839,2026-09-13T12:45:40.325839
CMP-003,CMP-005,SYNC_API,HIGH,0.8,FX rate lookup and conversion,2026-09-13T12:45:40.325840,2026-09-13T12:45:40.325840
CMP-003,CMP-008,DB_ACCESS,CRITICAL,1.0,Transaction persistence,2026-09-13T12:45:40.325841,2026-09-13T12:45:40.325841
CMP-003,CMP-014,SYNC_API,HIGH,0.8,Pre-authorisation fraud screening,2026-09-13T12:45:40.325842,2026-09-13T12:45:40.325842
CMP-003,CMP-015,ASYNC_EVENT,HIGH,0.8,Payment captured events posted to ledger,2026-09-13T12:45:40.325843,2026-09-13T12:45:40.325844
CMP-004,CMP-005,SYNC_API,HIGH,0.8,Currency catalogue lookup during validation,2026-09-13T12:45:40.325844,2026-09-13T12:45:40.325845
CMP-006,CMP-003,SYNC_API,CRITICAL,1.0,Checkout triggers payment authorisation,2026-09-13T12:45:40.325845,2026-09-13T12:45:40.325846
CMP-006,CMP-008,DB_ACCESS,HIGH,0.8,Order and line item persistence,2026-09-13T12:45:40.325846,2026-09-13T12:45:40.325847
CMP-006,CMP-011,ASYNC_EVENT,MEDIUM,0.5,Order confirmation notifications,2026-09-13T12:45:40.325850,2026-09-13T12:45:40.325850
