component_id,name,type,business_criticality,criticality_score,owner,repository,description,business_domain,domain,created_at,updated_at
CMP-001,Frontend Portal,UI,MEDIUM,0.5,Digital Experience,sample-repo/portal,React storefront and customer self-service portal.,Customer Experience,commerce,2026-09-13T12:45:40.313169,2026-09-13T12:45:40.313174
CMP-002,API Gateway,GATEWAY,HIGH,0.8,Platform Engineering,sample-repo/gateway,"Edge routing, authentication propagation and rate limiting.",Platform,commerce,2026-09-13T12:45:40.313176,2026-09-13T12:45:40.313177
CMP-003,Payment Service,SERVICE,CRITICAL,1.0,Payments Engineering,sample-repo/payment,"Authorises, captures and settles customer payments.",Payments,commerce,2026-09-13T12:45:40.313178,2026-09-13T12:45:40.313178
CMP-004,Payment Validator,MODULE,CRITICAL,1.0,Payments Engineering,sample-repo/payment,Shared validation library for payment and refund requests.,Payments,commerce,2026-09-13T12:45:40.313179,2026-09-13T12:45:40.313180
CMP-005,Currency Service,SERVICE,HIGH,0.8,Payments Engineering,sample-repo/currency,"Currency catalogue, FX rates and conversion arithmetic.",Payments,commerce,2026-09-13T12:45:40.313180,2026-09-13T12:45:40.313181
CMP-006,Order Service,SERVICE,HIGH,0.8,Commerce Engineering,sample-repo/order,"Cart, checkout orchestration and order lifecycle.",Orders,commerce,2026-09-13T12:45:40.313181,2026-09-13T12:45:40.313182
CMP-007,Refund Service,SERVICE,HIGH,0.8,Payments Engineering,sample-repo/refund,"Full and partial refunds, reversal orchestration.",Payments,commerce,2026-09-13T12:45:40.313183,2026-09-13T12:45:40.313183
CMP-008,Transaction Database,DATABASE,CRITICAL,1.0,Data Platform,sample-repo/schema,"System of record for transactions, ledgers and refunds.",Payments,commerce,2026-09-13T12:45:40.313184,2026-09-13T12:45:40.313184
CMP-009,User Service,SERVICE,HIGH,0.8,Identity Engineering,sample-repo/user,"Customer profile, preferences and address book.",Identity,commerce,2026-09-13T12:45:40.313185,2026-09-13T12:45:40.313185
CMP-010,Auth Service,SERVICE,CRITICAL,1.0,Identity Engineering,sample-repo/auth,"Authentication, MFA and session token issuance.",Security,commerce,2026-09-13T12:45:40.313186,2026-09-13T12:45:40.313187
CMP-011,Notification Service,SERVICE,MEDIUM,0.5,Customer Engagement,sample-repo/notification,"Transactional email, SMS and push delivery.",Engagement,commerce,2026-09-13T12:45:40.313187,2026-09-13T12:45:40.313188
CMP-012,Invoice Service,SERVICE,MEDIUM,0.5,Finance Systems,sample-repo/invoice,"Invoice generation, numbering and PDF rendering.",Finance,commerce,2026-09-13T12:45:40.313188,2026-09-13T12:45:40.313189
CMP-013,Reporting Service,SERVICE,LOW,0.25,Finance Systems,sample-repo/reporting,Reconciliation and management reporting extracts.,Finance,commerce,2026-09-13T12:45:40.313189,2026-09-13T12:45:40.313190
CMP-014,Fraud Screening Service,SERVICE,HIGH,0.8,Risk Engineering,sample-repo/fraud,Real-time transaction risk scoring and rules.,Risk,commerce,2026-09-13T12:45:40.313191,2026-09-13T12:45:40.313191
CMP-015,Ledger Service,SERVICE,CRITICAL,1.0,Finance Systems,sample-repo/ledger,Double-entry ledger postings and balance integrity.,Finance,commerce,2026-09-13T12:45:40.313192,2026-09-13T12:45:40.313192
RCMP-001,Onboard Segment Core,SERVICE,CRITICAL,1.0,Onboard Software,sample-repo/onboard,"Onboard state machine (ACTIVE, DISENGAGED, CUT OUT) and enforcement logic.",Onboard,rail,2026-09-13T12:45:40.313193,2026-09-13T12:45:40.313193
RCMP-002,Departure Test Module,MODULE,CRITICAL,1.0,Onboard Software,sample-repo/onboard,"Departure test sequencing, prompts and pass/fail determination.",Onboard,rail,2026-09-13T12:45:40.313194,2026-09-13T12:45:40.313194
