workflow_id,ecr_id,confidence,total_tests,selected_tests,reduction_percentage,execution_time,approval_status,report_json,created_at
WF-22fe1f93230b,ECR-2026-002,0.923,150,7,95.3,5.96,NOT_REQUIRED,reports/WF-22fe1f93230b.json,2026-09-13T12:47:16.116593
WF-814b4e899e4c,ECR-2026-001,0.947,150,66,56.0,5.55,NOT_REQUIRED,reports/WF-814b4e899e4c.json,2026-09-13T12:50:27.358136
WF-53006fa9493d,ECR-2026-001,0.947,150,66,56.0,0.89,NOT_REQUIRED,reports/WF-53006fa9493d.json,2026-09-13T12:51:27.039761
WF-0324a88fde9b,ECR-2026-004,0.947,150,73,51.3,1.2,NOT_REQUIRED,reports/WF-0324a88fde9b.json,2026-09-13T12:51:36.056347
WF-8777150ef071,ECR-2026-004,0.939,150,73,51.3,5.61,NOT_REQUIRED,reports/WF-8777150ef071.json,2026-09-13T12:59:13.762779
WF-a15c292291ad,ECR-2026-002,0.899,150,7,95.3,0.32,NOT_REQUIRED,reports/WF-a15c292291ad.json,2026-09-13T12:59:14.137686
WF-a9cec15adcf0,ECR-2026-001,0.937,150,66,56.0,0.52,NOT_REQUIRED,reports/WF-a9cec15adcf0.json,2026-09-13T16:56:10.584618
WF-ae128d51d212,ECR-2026-002,0.897,150,7,95.3,0.34,NOT_REQUIRED,reports/WF-ae128d51d212.json,2026-09-13T16:56:10.962283
WF-a0a0a854cc1c,ECR-2026-001,0.937,150,66,56.0,0.55,NOT_REQUIRED,reports/WF-a0a0a854cc1c.json,2026-09-13T16:57:22.601090
WF-53436c74ad66,ECR-2026-002,0.897,150,7,95.3,0.35,NOT_REQUIRED,reports/WF-53436c74ad66.json,2026-09-13T16:57:22.993623
WF-be942f19bf10,ECR-2026-001,0.937,150,66,56.0,0.84,NOT_REQUIRED,reports/WF-be942f19bf10.json,2026-09-13T16:58:18.478235
WF-2fe8272668ff,ECR-2026-002,0.897,150,7,95.3,0.53,NOT_REQUIRED,reports/WF-2fe8272668ff.json,2026-09-13T16:58:19.043459
WF-6f6e3acce1b0,ECR-2026-004,0.937,150,73,51.3,0.69,NOT_REQUIRED,reports/WF-6f6e3acce1b0.json,2026-09-13T16:58:19.776619
WF-a79ee1f9d3a2,ECR-2026-002,0.897,150,7,95.3,0.86,NOT_REQUIRED,reports/WF-a79ee1f9d3a2.json,2026-09-13T16:59:37.429247
WF-ff984e82f55a,ECR-2026-004,0.939,150,73,51.3,232.98,NOT_REQUIRED,reports/WF-ff984e82f55a.json,2026-09-13T17:06:06.504752
WF-26a6f0056442,ECR-2026-008,0.935,150,30,80.0,230.74,NOT_REQUIRED,reports/WF-26a6f0056442.json,2026-09-13T17:10:37.105855
WF-0bc73595bf65,ECR-2026-004,0.937,150,73,51.3,10.15,NOT_REQUIRED,reports/WF-0bc73595bf65.json,2026-09-13T17:19:08.051160
WF-de45f9447138,ECR-2026-004,0.937,150,73,51.3,8.94,NOT_REQUIRED,reports/WF-de45f9447138.json,2026-09-13T17:19:17.009138
WF-9cbf4bf7a87d,ECR-2026-020,0.937,170,49,71.2,10.15,NOT_REQUIRED,reports/WF-9cbf4bf7a87d.json,2026-09-13T18:55:26.195987
WF-dd0361b7d834,ECR-2026-023,0.934,170,11,93.5,12.59,NOT_REQUIRED,reports/WF-dd0361b7d834.json,2026-09-13T19:38:25.489759
WF-fde8f7fbd518,ECR-2026-023,0.934,170,11,93.5,24.12,NOT_REQUIRED,reports/WF-fde8f7fbd518.json,2026-09-15T06:09:39.520120
WF-7aeed6449141,ECR-2026-023,0.934,170,11,93.5,46.31,NOT_REQUIRED,reports/WF-7aeed6449141.json,2026-09-15T06:10:36.364397
WF-102fc7b034a8,ECR-2026-034,0.898,68,3,95.6,49.55,NOT_REQUIRED,reports/WF-102fc7b034a8.json,2026-09-15T06:21:34.198686
WF-d6b8d335dd72,ECR-2026-002,0.897,170,7,95.9,27.48,NOT_REQUIRED,reports/WF-d6b8d335dd72.json,2026-09-15T06:48:47.703337
WF-988f4ca4982d,ECR-2026-022,0.937,170,20,88.2,51.23,NOT_REQUIRED,reports/WF-988f4ca4982d.json,2026-09-15T09:47:24.080169
WF-2c35dee86da7,ECR-2026-036,0.898,68,1,98.5,83.54,NOT_REQUIRED,reports/WF-2c35dee86da7.json,2026-09-15T09:58:56.648876
WF-ecb50944730f,ECR-2026-002,0.897,170,7,95.9,25.49,NOT_REQUIRED,reports/WF-ecb50944730f.json,2026-09-15T10:00:00.169873
WF-2d765457b873,ECR-2026-004,0.937,170,67,60.6,26.29,NOT_REQUIRED,reports/WF-2d765457b873.json,2026-09-15T10:02:33.677278
WF-589f46956bae,ECR-2026-001,0.937,170,71,58.2,39.43,NOT_REQUIRED,reports/WF-589f46956bae.json,2026-09-15T10:29:20.578695
WF-ec6cbfd69c74,ECR-2026-001,0.937,170,71,58.2,65.49,NOT_REQUIRED,reports/WF-ec6cbfd69c74.json,2026-09-15T10:32:17.297948
WF-7dea196683c8,ECR-2026-008,0.937,170,31,81.8,76.66,NOT_REQUIRED,reports/WF-7dea196683c8.json,2026-09-15T10:34:48.657550
WF-250278e6818e,ECR-2026-009,0.921,170,17,90.0,94.26,NOT_REQUIRED,reports/WF-250278e6818e.json,2026-09-15T10:37:50.230146
WF-ff2419982472,ECR-2026-001,0.937,170,67,60.6,91.19,NOT_REQUIRED,reports/WF-ff2419982472.json,2026-09-15T10:45:48.237575
WF-2890a0eac691,ECR-2026-001,0.937,170,67,60.6,24.83,NOT_REQUIRED,reports/WF-2890a0eac691.json,2026-09-15T10:48:01.680842
WF-3569a017c5c5,ECR-2026-007,0.937,170,40,76.5,25.21,NOT_REQUIRED,reports/WF-3569a017c5c5.json,2026-09-15T10:52:35.196803
WF-192549749b9b,ECR-2026-001,0.937,170,67,60.6,23.94,NOT_REQUIRED,reports/WF-192549749b9b.json,2026-09-15T23:09:45.031392
WF-452f9dfc4748,ECR-2026-001,0.937,170,67,60.6,24.16,NOT_REQUIRED,reports/WF-452f9dfc4748.json,2026-09-15T23:47:24.707287
WF-55a0d7652aac,ECR-2026-012,0.898,68,44,35.3,21.69,NOT_REQUIRED,reports/WF-55a0d7652aac.json,2026-09-16T09:50:10.568586
WF-b58f8288c9b9,ECR-2026-001,0.937,170,67,60.6,20.93,NOT_REQUIRED,reports/WF-b58f8288c9b9.json,2026-09-17T06:05:12.341838
WF-89341150c707,ECR-2026-023,0.934,170,10,94.1,18.82,NOT_REQUIRED,reports/WF-89341150c707.json,2026-09-17T06:22:04.913366
WF-88a9e56e8d4d,ECR-1,0.882,80,46,42.5,23.72,NOT_REQUIRED,reports/WF-88a9e56e8d4d.json,2026-09-17T06:54:20.661837
WF-86dd74fc75d5,ECR-2,0.9,80,46,42.5,52.53,NOT_REQUIRED,reports/WF-86dd74fc75d5.json,2026-09-17T07:00:35.516282
WF-df018a8a2560,ECR-1,0.882,80,46,42.5,24.71,NOT_REQUIRED,reports/WF-df018a8a2560.json,2026-09-17T07:29:16.615014
